Object Number,Mnemonic,Classification,Artist,Alpha Sort,Title Sort,Date,Begin Date,Medium,Dimensions,Extended Medium,Credit Line
31.453,PC,Drawings,Reginald Marsh,Marsh Reginald,"Locomotive, Number 2",1929,1929,Watercolor and graphite pencil on paper,Sheet: 14 x 20in. (35.6 x 50.8 cm),,Gift of Gertrude Vanderbilt Whitney
31.454,PC,Drawings,M. Lois Murphy,Murphy M. Lois,Bernham's Barn,1927,1927,Watercolor on paper,Sheet: 15 1/4 x 22 1/4in. (38.7 x 56.5 cm),,Purchase
31.455,PC,Drawings,Jerome Myers,Myers Jerome,First Avenue Corner,(c. 1925),1920,"Transparent and opaque watercolor, and wax crayon on paper",Sheet (Irregular): 8 x 10 3/16in. (20.3 x 25.9 cm),,Purchase
31.456,PC,Drawings,Maurice Prendergast,Prendergast Maurice,Bathing Beach,(c. 1919),1914,"Watercolor, pastel and graphite pencil on paper",Sheet: 13 13/16 x 19 15/16in. (35.1 x 50.6 cm),,Purchase
31.457a-b,PC,Drawings,Boardman Robinson,Robinson Boardman,The Club,1917,1917,"Opaque watercolor, wax crayon, pen and ink, wash, and graphite pencil on paper (recto);  Wax crayon, pen and ink, and graphite pencil on paper (verso)",Sheet (Irregular): 15 x 21 5/16in. (38.1 x 54.1 cm),,Gift of Gertrude Vanderbilt Whitney
31.458,PC,Drawings,Caroline Speare Rohland,Rohland Caroline Speare,At the Theatre,-1930,1930,Pastel and graphite pencil on paper,Sheet (Irregular): 18 1/8 x 21 1/16in. (46 x 53.5 cm),,Purchase
31.459,PC,Drawings,Caroline Speare Rohland,Rohland Caroline Speare,Luncheon,-1930,1930,Pastel on paper,Sheet: 20 1/2 x 24 3/4in. (52.1 x 62.9 cm),,Purchase
31.46,PC,Drawings,Paul Rohland,Rohland Paul,Garden of Mansion,1931,1931,Watercolor on paper,Overall: 20 x 26in. (50.8 x 66 cm),,Purchase
31.461,PC,Drawings,Paul Rohland,Rohland Paul,Trees,-1929,1929,Watercolor and charcoal on paper,Sheet: 13 1/2 x 16 15/16in. (34.3 x 43 cm),,Purchase
31.463,PC,Drawings,Henry Schnakenberg,Schnakenberg Henry,Forest Carpet,-1924,1924,Watercolor and graphite pencil on paper,Sheet (Irregular): 12 x 16in. (30.5 x 40.6 cm),,Purchase
31.464,PC,Drawings,Henry Schnakenberg,Schnakenberg Henry,Landscape with Mountain,1927,1927,Watercolor and graphite pencil on paper,Sheet: 13 3/4 x 19 5/8in. (34.9 x 49.8 cm),,Purchase
31.465,PC,Drawings,Henry Schnakenberg,Schnakenberg Henry,Near the Quarry,1930,1930,Watercolor and graphite pencil on paper,Sheet: 13 15/16 x 19 13/16in. (35.4 x 50.3 cm),,Gift of Gertrude Vanderbilt Whitney
31.466,PC,Drawings,Henry Schnakenberg,Schnakenberg Henry,The Pool's Edge,1931,1931,Watercolor on paper,Sheet: 16 1/2 x 21 5/16in. (41.9 x 54.1 cm),,Gift of Gertrude Vanderbilt Whitney
31.467,PC,Drawings,Henry Schnakenberg,Schnakenberg Henry,S. S. San Lorenzo,-1926,1926,Watercolor and graphite pencil on paper,Sheet: 14 x 19 15/16in. (35.6 x 50.6 cm),,Gift of Juliana Force
31.468,PC,Drawings,Charles Sheeler,Sheeler Charles,Bucks County Barn,1923,1923,"Tempera, charcoal pencil, and graphite pencil on paper",Sheet: 19 5/8 x 26in. (49.8 x 66 cm),,Gift of Gertrude Vanderbilt Whitney
31.469,PC,Drawings,Joseph Stella,Stella Joseph,Nativity,(1919-1920),1919,Oil pastel and oil on paper,Sheet (Irregular): 37 x 19 5/16in. (94 x 49.1 cm),,Purchase
31.47,PC,Drawings,Joseph Stella,Stella Joseph,"Still Life, Fruit",(c. 1925),1920,Opaque watercolor on paper,Sheet (Irregular): 21 1/2 x 29 3/4in. (54.6 x 75.6 cm),,Purchase
31.471,PC,Drawings,John W. Taylor,Taylor John W.,Landscape with Trees,-1929,1929,Watercolor and pen and ink on paper,"Sheet: 14 3/4 x 20in. (37.5 x 50.8 cm)
Mount (board): 19 1/2 x 25 9/16in. (49.5 x 64.9 cm)",,Purchase
31.472,PC,Drawings,John W. Taylor,Taylor John W.,Still Life,-1930,1930,Watercolor and pen and ink on paper,Sheet: 20 1/16 x 15in. (51 x 38.1 cm),,Purchase
31.473,PC,Drawings,Allen Tucker,Tucker Allen,Spring Trees,1920s,1920,Watercolor and charcoal on paper,Sheet: 14 x 20in. (35.6 x 50.8 cm),,Purchase
31.474,PC,Drawings,Allen Tucker,Tucker Allen,House on Hill,1917,1917,Pastel on toned paper,Sheet: 7 x 9 3/4in. (17.8 x 24.8 cm),,Purchase
31.475,PC,Drawings,Allen Tucker,Tucker Allen,March Mists,1925,1925,Watercolor,Overall: 14 3/4 x 21in. (37.5 x 53.3 cm),,Purchase
31.476,PC,Drawings,Max Weber,Weber Max,Listening,1930,1930,"Opaque watercolor and graphite pencil on paper, mounted on paper","Sheet: 10 3/16 x 7in. (25.9 x 17.8 cm)
Image: 5 7/8 x 4 1/8in. (14.9 x 10.5 cm)",,Purchase
31.477,PC,Drawings,Max Weber,Weber Max,The Red Cap,1930,1930,Gouache on paper,Overall: 4 1/4 x 5in. (10.8 x 12.7 cm),,Purchase
31.479,PC,Drawings,Arnold Wiltz,Wiltz Arnold,The Waste Channel,1929,1929,Pen and ink and watercolor on paper,Sheet: 13 13/16 x 20in. (35.1 x 50.8 cm),,Purchase
31.48,PC,Drawings,William Yarrow,Yarrow William,Tile-roofed Houses,(1920s),1920,Watercolor on paper,Sheet: 17 7/16 x 22 3/8in. (44.3 x 56.8 cm),,Purchase
31.481,PC,Drawings,Peggy Bacon,Bacon Peggy,Blessed Damozel,1925,1925,Graphite pencil on paper,Sheet (Irregular): 20 1/2 x 15 1/2in. (52.1 x 39.4 cm),,Gift of Gertrude Vanderbilt Whitney
31.482,PC,Drawings,Peggy Bacon,Bacon Peggy,Mother and Child,(c. 1927),1922,Graphite pencil on paper,Sheet: 16 5/8 x 10 13/16in. (42.2 x 27.5 cm),,Gift of Gertrude Vanderbilt Whitney
31.483,PC,Drawings,Peggy Bacon,Bacon Peggy,Vignette,1923,1923,Pen and ink on paper,Sheet: 10 5/8 x 8 9/16in. (27 x 21.7 cm),,Gift of Gertrude Vanderbilt Whitney
31.484,PC,Drawings,Peggy Bacon,Bacon Peggy,Wild Garden,1924,1924,Graphite pencil on paper,Sheet: 22 1/8 x 18in. (56.2 x 45.7 cm),,Gift of Gertrude Vanderbilt Whitney
31.485,PC,Drawings,Cecilia Beaux,Beaux Cecilia,Portrait of Kubelik,(1902-1903),1902,Charcoal on board,Sheet (Irregular): 18 3/16 x 14 1/2in. (46.2 x 36.8 cm),,Gift of Gertrude Vanderbilt Whitney
31.486,PC,Drawings,Thomas Hart Benton,Benton Thomas Hart,"Blast Furnace, Number 1",(1929 or 1930),1929,"Pen and ink, wash, and graphite pencil on paper",Overall: 14 9/16 x 10 3/8in. (37 x 26.4 cm),"Pen and ink, brown wash and graphite pencil on paper",Gift of Gertrude Vanderbilt Whitney
31.487,PC,Drawings,Thomas Hart Benton,Benton Thomas Hart,"Blast Furnace, Number 2",(1929 or 1930),1929,"Watercolor, pen and ink, and graphite pencil on paper",Sheet: 12 7/8 x 9 1/4in. (32.7 x 23.5 cm),,Gift of Gertrude Vanderbilt Whitney
31.488,PC,Drawings,Thomas Hart Benton,Benton Thomas Hart,"Coaling Station, West Virginia",-1928,1928,"Pen and ink, brush and ink, and graphite pencil on paper",Sheet: 11 13/16 x 8 13/16in. (30 x 22.4 cm),,Gift of Gertrude Vanderbilt Whitney
31.489,PC,Drawings,Thomas Hart Benton,Benton Thomas Hart,Dancer,-1930,1930,Graphite pencil and wax crayon on paper,Sheet (Irregular): 21 1/4 x 14in. (54 x 35.6 cm),,Gift of Gertrude Vanderbilt Whitney
31.49,PC,Drawings,Thomas Hart Benton,Benton Thomas Hart,Dock Scene,-1928,1928,"Pen and ink, wash, and graphite pencil on paper",Sheet: 10 3/8 x 14 7/8in. (26.4 x 37.8 cm),"



",Gift of Gertrude Vanderbilt Whitney
31.491,PC,Drawings,Thomas Hart Benton,Benton Thomas Hart,Logging Train,-1928,1928,"Pen and ink, wash, and graphite pencil on paper",Sheet (Irregular): 9 x 12in. (22.9 x 30.5 cm),,Gift of Gertrude Vanderbilt Whitney
31.492,PC,Drawings,Thomas Hart Benton,Benton Thomas Hart,The Fall,(c. 1929),1924,"Pen and ink, wash, and graphite pencil on paper",Sheet (Irregular): 11 5/8 x 8 3/4in. (29.5 x 22.2 cm),,Gift of Gertrude Vanderbilt Whitney
31.493,PC,Drawings,Thomas Hart Benton,Benton Thomas Hart,Portrait of a Boy,(1926-1930),1926,"Graphite pencil, fabricated chalk, and pastel on board",Sheet (Irregular): 13 5/16 x 10 3/4in. (33.8 x 27.3 cm),"Graphite pencil, red fabricated chalk, and pastel on board",Gift of Gertrude Vanderbilt Whitney
31.494,PC,Drawings,Thomas Hart Benton,Benton Thomas Hart,Portrait of J. T. Morton,-1928,1928,"Pen and ink, wash, and graphite pencil on paper",Sheet: 11 3/4 x 8 13/16in. (29.8 x 22.4 cm),,Gift of Gertrude Vanderbilt Whitney
31.495,PC,Drawings,Thomas Hart Benton,Benton Thomas Hart,Portrait of a Cowboy,-1929,1929,"Pen and ink, wash, and graphite pencil on paper",Sheet: 11 3/8 x 8 1/2in. (28.9 x 21.6 cm),,Gift of Gertrude Vanderbilt Whitney
31.496,PC,Drawings,Thomas Hart Benton,Benton Thomas Hart,Sawing the Log,(c. 1929),1924,"Pen and ink, wash, and graphite pencil on paper",Sheet: 8 3/4 x 11 3/4in. (22.2 x 29.8 cm),"Pen and brown ink, brown wash and graphite pencil on paper",Gift of Gertrude Vanderbilt Whitney
31.497,PC,Drawings,Pamela Bianco,Bianco Pamela,Ivy Berries,(c. 1919),1914,"Brush and ink, opaque watercolor, collage, and graphite pencil on paper",Sheet: 9 x 10 1/2in. (22.9 x 26.7 cm),,Gift of Gertrude Vanderbilt Whitney
31.498,PC,Drawings,Pamela Bianco,Bianco Pamela,Tulips,(c. 1921),1921,Brush and ink on paper,Sheet (Irregular): 15 3/4 x 11 1/4in. (40 x 28.6 cm),,Purchase
31.499,PC,Drawings,John Bloomshield,Bloomshield John,Child,1924,1924,Graphite pencil and opaque watercolor on paper,Sheet: 14 1/16 x 11 1/2in. (35.7 x 29.2 cm),,Purchase
31.5,PC,Drawings,Louis Bouché,Bouché Louis,Girl Arranging her Hair,1921,1921,Graphite pencil on paper,Sheet: 11 x 8in. (27.9 x 20.3 cm),Graphite pencil on brown paper,Purchase
31.501,PC,Drawings,Louis Bouché,Bouché Louis,Girl in Chemise,1919,1919,Graphite pencil on paper,Sheet (Irregular): 10 5/8 x 8in. (27 x 20.3 cm),,Purchase
31.502,PC,Drawings,Alexander Brook,Brook Alexander,Nude,(c. 1920),1915,Graphite pencil on paper,Sheet (Irregular): 19 x 15 1/4in. (48.3 x 38.7 cm),,Gift of Gertrude Vanderbilt Whitney
31.504,PC,Drawings,Paul Burlin,Burlin Paul,Draped Figure,-1916,1916,Graphite pencil on paper,Sheet (Irregular): 23 3/4 x 18 15/16in. (60.3 x 48.1 cm),,Purchase
31.505,PC,Drawings,Paul Burlin,Burlin Paul,Figure Sketch,-1921,1921,"Pen and ink, pastel, and graphite pencil on paper",Sheet (Irregular): 13 15/16 x 9 5/16in. (35.4 x 23.7 cm),,Gift of Gertrude Vanderbilt Whitney
31.506,PC,Drawings,Paul Burlin,Burlin Paul,Horses,1918,1918,Graphite pencil on paper,Sheet: 9 3/8 x 11 9/16in. (23.8 x 29.4 cm),,Gift of Gertrude Vanderbilt Whitney
31.507,PC,Drawings,Paul Burlin,Burlin Paul,Nude,-1921,1921,"Pen and ink, graphite pencil, and pastel on paper",Sheet (Irregular): 13 1/2 x 9 1/4in. (34.3 x 23.5 cm),,Gift of Gertrude Vanderbilt Whitney
31.508,PC,Drawings,Paul Burlin,Burlin Paul,Nude Study,-1916,1916,Pen and ink on paper,Sheet (Irregular): 14 1/4 x 9 1/2in. (36.2 x 24.1 cm),,Gift of Gertrude Vanderbilt Whitney
31.509,PC,Drawings,Paul Burlin,Burlin Paul,Portrait Head,-1914,1914,Graphite pencil on paper,Sheet: 22 x 17in. (55.9 x 43.2 cm),,Purchase
31.51,PC,Drawings,Alice Campbell,Campbell Alice,Lilies,(c. 1929),1924,Pen and ink and graphite pencil on paper,Sheet: 14 x 10in. (35.6 x 25.4 cm),,Gift of Gertrude Vanderbilt Whitney
31.511,PC,Drawings,Blendon Campbell,Campbell Blendon,Chartres,1926,1926,Lithographic crayon on paper,Sheet: 10 5/16 x 14 5/16in. (26.2 x 36.4 cm),,Gift of Gertrude Vanderbilt Whitney
31.512,PC,Drawings,Blendon Campbell,Campbell Blendon,The Little Bridge of Sighs,n.d.,0,Charcoal on paper,Sheet: 24 13/16 x 19in. (63 x 48.3 cm),,Purchase
31.513,PC,Drawings,Andrew Dasburg,Dasburg Andrew,Landscape,1920,1920,Fabricated chalk on paper,Sheet: 12 3/8 x 15 1/2in. (31.4 x 39.4 cm),Black fabricated chalk on paper,Gift of Gertrude Vanderbilt Whitney
31.514,PC,Drawings,Randall Davey,Davey Randall,The Cock Fight,1917,1917,Pen and ink and watercolor on paper,Sheet: 10 13/16 x 14in. (27.5 x 35.6 cm),,Gift of Gertrude Vanderbilt Whitney
31.515,PC,Drawings,Randall Davey,Davey Randall,Penitentes,-1919,1919,Pen and ink and wash on paper,Sheet: 11 x 14in. (27.9 x 35.6 cm),,Purchase
31.516,PC,Drawings,Arthur B. Davies,Davies Arthur B.,"Crouching Nude, Number 1",(c. 1922-1928),1922,Fabricated chalk on paper,Sheet (Irregular): 18 x 13 1/4in. (45.7 x 33.7 cm),Black and white fabricated chalk on paper,Gift of Gertrude Vanderbilt Whitney
31.517,PC,Drawings,Arthur B. Davies,Davies Arthur B.,Kneeling Nude,(1920s),1920,Fabricated chalk on paper,Sheet (Irregular): 15 1/2 x 10 3/4in. (39.4 x 27.3 cm),Black and white fabricated chalk on brown paper,Purchase
31.518,PC,Drawings,Arthur B. Davies,Davies Arthur B.,Reclining Nude,(c. 1895-1905),1895,"Fabricated chalk, graphite pencil, and watercolor on paper",Sheet: 9 3/4 x 15in. (24.8 x 38.1 cm),,Purchase
31.519,PC,Drawings,Stuart Davis,Davis Stuart,Study: Compote,-1928,1928,Brush and ink and graphite pencil on paper,Sheet (Irregular): 24 5/16 x 18 3/8in. (61.8 x 46.7 cm),,Gift of Gertrude Vanderbilt Whitney
31.52,PC,Drawings,Adolf Dehn,Dehn Adolf,Out Strolling,1927,1927,Pen and ink and brush and ink on paper,"Sheet: 12 1/16 x 18 1/8in. (30.6 x 46 cm)
Mount (board): 17 3/16 x 22 3/8in. (43.7 x 56.8 cm)",,Purchase
31.521,PC,Drawings,Adolf Dehn,Dehn Adolf,The Sisters,1927,1927,Pen and ink and brush and ink on paper,Sheet: 14 x 18 3/4in. (35.6 x 47.6 cm),,Gift of Gertrude Vanderbilt Whitney
31.522,PC,Drawings,Thomas Donnelly,Donnelly Thomas,Overlooking Valhalla,1923,1923,Lithographic crayon and charcoal on paper,"Sheet (Irregular): 12 1/8 x 16in. (30.8 cm, 89.6lb.)",,Gift of Gertrude Vanderbilt Whitney
31.523,PC,Drawings,Thomas Donnelly,Donnelly Thomas,Vase of Flowers,1930,1930,Pen and ink and brush and ink on paper,Sheet: 14 1/8 x 9 5/8in. (35.9 x 24.4 cm),,Gift of Gertrude Vanderbilt Whitney
31.524,PC,Drawings,Guy Pène Du Bois,Du Bois Guy Pène,"""But Aren't You Interested in Making More Christians?""",1930,1930,Pen and ink and graphite pencil on paper,Sheet (Irregular): 15 3/4 x 11 1/4in. (40 x 28.6 cm),,Purchase
31.525,PC,Drawings,Guy Pène Du Bois,Du Bois Guy Pène,"""Can You Act?""",-1914,1914,"Fabricated chalk, opaque watercolor, and graphite pencil on board",Sheet: 23 x 14 1/2in. (58.4 x 36.8 cm),,Gift of Gertrude Vanderbilt Whitney
31.526,PC,Drawings,Guy Pène Du Bois,Du Bois Guy Pène,"""Come and Meet My Brother""",1914,1914,Fabricated chalk and brush and ink on paper,Sheet (Irregular): 18 5/8 x 14 1/4in. (47.3 x 36.2 cm),Black fabricated chalk and brush and black ink on paper,Purchase
31.527,PC,Drawings,Guy Pène Du Bois,Du Bois Guy Pène,Conversation,1929,1929,"Pen and ink, watercolor, and graphite pencil on paper",Sheet (Irregular): 17 1/16 x 12 1/16in. (43.3 x 30.6 cm),,Purchase
31.528,PC,Drawings,Guy Pène Du Bois,Du Bois Guy Pène,"""Do You Think It Will Be Cool When We Get There?""",-1914,1914,Charcoal and watercolor on paper,Sheet: 19 7/8 x 14 15/16in. (50.5 x 37.9 cm),,Purchase
31.529,PC,Drawings,Guy Pène Du Bois,Du Bois Guy Pène,Eugenics Again,1914,1914,Fabricated chalk on paper,Sheet: 22 1/2 x 14 1/2in. (57.2 x 36.8 cm),Black fabricated chalk on paper,Gift of Gertrude Vanderbilt Whitney
31.53,PC,Drawings,Guy Pène Du Bois,Du Bois Guy Pène,A Fashion in Stripes,(c. 1910),1905,Charcoal and watercolor on paper,Sheet (Irregular): 19 3/4 x 15in. (50.2 x 38.1 cm),,Purchase
31.531,PC,Drawings,Guy Pène Du Bois,Du Bois Guy Pène,"First Night, Theatre Guild",1928,1928,Pen and ink on paper,Sheet (Irregular): 15 5/8 x 13 1/4in. (39.7 x 33.7 cm),,Purchase
31.532,PC,Drawings,Guy Pène Du Bois,Du Bois Guy Pène,Opera,1907,1907,"Fabricated chalk, opaque watercolor, and pen and ink on board",Sheet: 19 13/16 x 14 7/8in. (50.3 x 37.8 cm),"Black fabricated chalk, opaque watercolor, and pen and black ink on board",Gift of Gertrude Vanderbilt Whitney
31.533,PC,Drawings,Guy Pène Du Bois,Du Bois Guy Pène,"Gasnes-Seine et Oise, France",1923,1923,Pen and ink on paper,Sheet (Irregular): 13 13/16 x 12 1/8in. (35.1 x 30.8 cm),,Purchase
31.534a-b,PC,Drawings,Guy Pène Du Bois,Du Bois Guy Pène,Girl with Cigarette,1929,1929,"Pen and bink and watercolor on paper (recto); Pen and ink, and fabricated chalk on paper (verso)",Sheet (Irregular): 18 7/8 x 12in. (47.9 x 30.5 cm),"Pen and black ink and watercolor on paper (recto); Pen and black ink, and black fabricated chalk on paper (verso)",Gift of Gertrude Vanderbilt Whitney
31.535,PC,Drawings,Guy Pène Du Bois,Du Bois Guy Pène,"""How Long Have You Been in this Lolly-pop Business?""",1930,1930,Pen and ink on paper,Sheet: 18 1/16 x 13 3/8in. (45.9 x 34 cm),,Purchase
31.536,PC,Drawings,Guy Pène Du Bois,Du Bois Guy Pène,The Law,(c. 1915),1910,Charcoal on board,Sheet: 18 1/2 x 14 1/4in. (47 x 36.2 cm),,Purchase
31.537,PC,Drawings,Guy Pène Du Bois,Du Bois Guy Pène,Man and Girl,1922,1922,"Pen and ink, fabricated chalk, charcoal, and opaque watercolor on paper",Sheet (Irregular): 17 1/2 x 14 3/4in. (44.5 x 37.5 cm),"Pen and black ink, red and black fabricated chalk, charcoal, and opaque watercolor on paper",Purchase
31.538,PC,Drawings,Guy Pène Du Bois,Du Bois Guy Pène,Portrait of Jo Davidson,(c. 1916),1911,"Fabricated chalk, charcoal, transparent and opaque watercolor, and brush and ink on board",Sheet: 22 1/2 x 17 9/16in. (57.2 x 44.6 cm),"Black fabricated chalk, charcoal, transparent and opaque watercolor, and brush and black ink on board",Gift of Gertrude Vanderbilt Whitney
31.539,PC,Drawings,Guy Pène Du Bois,Du Bois Guy Pène,Promenade,c. 1914,1909,Graphite pencil on paper,Sheet (Irregular): 14 1/8 x 12 1/16in. (35.9 x 30.6 cm),,Gift of Gertrude Vanderbilt Whitney
31.54,PC,Drawings,Guy Pène Du Bois,Du Bois Guy Pène,"Telephone, Your Honor",(c. 1930),1925,Pen and ink on paper,Sheet (Irregular): 15 3/4 x 11in. (40 x 27.9 cm),,Purchase
31.541,PC,Drawings,Guy Pène Du Bois,Du Bois Guy Pène,Trio,1928,1928,Pen and ink on paper,Sheet: 18 13/16 x 12in. (47.8 x 30.5 cm),,Purchase
31.542,PC,Drawings,Guy Pène Du Bois,Du Bois Guy Pène,Trouville,1926,1926,Pen and ink on paper,Sheet (Irregular): 9 3/4 x 10 1/2in. (24.8 x 26.7 cm),,Purchase
31.543,PC,Drawings,Edmund Duffy,Duffy Edmund,Two Little Buttercups,-1923,1923,"Brush and ink, fabricated chalk, opaque watercolor and graphite pencil on paper",Sheet: 21 5/16 x 17 1/16in. (54.1 x 43.3 cm),"Brush and black ink, black fabricated chalk, opaque watercolor and graphite pencil on paper",Purchase
31.545,PC,Drawings,William Glackens,Glackens William,"""Then There was a Lively Little Fight.""",-1914,1914,"Charcoal, transparent and opaque watercolor, colored pencil, and graphite pencil on paper",Sheet (Irregular): 13 3/16 x 17 15/16in. (33.5 x 45.6 cm),,Purchase
31.546,PC,Drawings,Rosella Hartman,Hartman Rosella,Iris and Poppy in Glass,-1929,1929,Pen and ink and lithographic crayon on paper,Sheet: 19 7/8 x 14 7/8in. (50.5 x 37.8 cm),,Purchase
31.547,PC,Drawings,Rosella Hartman,Hartman Rosella,Tiger Lilies,-1928,1928,Wax crayon on paper,Sheet: 18 1/16 x 19 1/4in. (45.9 x 48.9 cm),,Gift of Gertrude Vanderbilt Whitney
31.548a-b,PC,Drawings,Rockwell Kent,Kent Rockwell,The Kathleen,-1923,1923,Pen and ink on paper (recto); Graphite pencil on paper (verso),Sheet: 6 7/8 x 7 3/4in. (17.5 x 19.7 cm),,Gift of Gertrude Vanderbilt Whitney
31.549,PC,Drawings,Rockwell Kent,Kent Rockwell,Man and Boy,1918,1918,Pen and ink and brush and ink on paper,"Sheet: 11 1/4 x 14 5/16in. (28.6 x 36.4 cm)
Image (sight): 6 1/4 x 7 1/2in. (15.9 x 19.1 cm)
Mount (board): 14 x 17 9/16in. (35.6 x 44.6 cm)",,Gift of Gertrude Vanderbilt Whitney
31.55,PC,Drawings,Rockwell Kent,Kent Rockwell,Man and Boy Sawing Wood,1919,1919,Pen and ink and brush and ink on paper,"Sheet: 7 x 9 15/16in. (17.8 x 25.2 cm)
Mount (board, irregular): 9 3/16 x 12in. (23.3 x 30.5 cm)",,Gift of Gertrude Vanderbilt Whitney
31.551,PC,Drawings,Rockwell Kent,Kent Rockwell,Pelagic Reverie,1919,1919,Brush and ink and charcoal on paper,Sheet: 6 7/8 x 8 13/16in. (17.5 x 22.4 cm),,Gift of Gertrude Vanderbilt Whitney
31.552,PC,Drawings,Rockwell Kent,Kent Rockwell,The Seven Ages of Man - The Infant,-1918,1918,Pen and ink on paper,Sheet: 9 3/4 x 7 5/8in. (24.8 x 19.4 cm),,Gift of Gertrude Vanderbilt Whitney
31.553,PC,Drawings,Rockwell Kent,Kent Rockwell,Standing Figure,1920,1920,Pen and ink and brush and ink on paper,Sheet: 6 3/4 x 5 1/8in. (17.1 x 13 cm),,Gift of Gertrude Vanderbilt Whitney
31.554a-b,PC,Drawings,Yasuo Kuniyoshi,Kuniyoshi Yasuo,Damp Place,1923,1923,"Pen, brush and colored ink on paper",Sheet: 15 1/2 x 22 5/16in. (39.4 x 56.7 cm),,Gift of Gertrude Vanderbilt Whitney
31.555,PC,Drawings,Yasuo Kuniyoshi,Kuniyoshi Yasuo,Lady Slipper,1924,1924,"Pen, brush and colored ink on paper",Sheet: 22 1/4 x 15 1/4in. (56.5 x 38.7 cm),,Gift of Gertrude Vanderbilt Whitney
31.556,PC,Drawings,Kenneth Hayes Miller,Miller Kenneth Hayes,Two Nudes,-1916,1916,Pen and ink on paper,Sheet (Irregular): 9 7/8 x 7 15/16in. (25.1 x 20.2 cm),,Purchase
31.557,PC,Drawings,Jerome Myers,Myers Jerome,Children at Play,(c.  1917),1912,"Pen and ink, wash, and graphite pencil on paper","Sheet (irregular): 4 3/4 x 7 3/4in. (12.1 x 19.7 cm)
Mount (board): 7 3/16 x 10 5/16in. (18.3 x 26.2 cm)",,Purchase
31.558,PC,Drawings,Jerome Myers,Myers Jerome,Self Portrait,-1912,1912,Pastel on paper,Sheet: 14 1/2 x 11 9/16in. (36.8 x 29.4 cm),,Purchase
31.559,PC,Drawings,Reuben Nakian,Nakian Reuben,"Animal Study, I",(c. 1921),1916,Wax crayon on paper,Sheet (Irregular): 10 5/16 x 17 3/4in. (26.2 x 45.1 cm),,Gift of Gertrude Vanderbilt Whitney
31.56,PC,Drawings,Reuben Nakian,Nakian Reuben,"Animal Study, II",(c. 1921),1916,Wax crayon on paper,Sheet: 10 5/16 x 17 5/8in. (26.2 x 44.8 cm),,Gift of Gertrude Vanderbilt Whitney
31.561,PC,Drawings,Reuben Nakian,Nakian Reuben,Bull and Cow,(c. 1921),1916,Wax crayon on paper,Sheet: 10 3/8 x 17 5/16in. (26.4 x 44 cm),,Gift of Gertrude Vanderbilt Whitney
31.562a-b,PC,Drawings,Reuben Nakian,Nakian Reuben,Bull Crouching,(c. 1921),1916,Wax crayon on paper,Sheet (Irregular): 8 5/16 x 12 9/16in. (21.1 x 31.9 cm),,Gift of Gertrude Vanderbilt Whitney
31.563,PC,Drawings,Reuben Nakian,Nakian Reuben,Cow and Heifer,(c. 1921),1916,Wax crayon on paper,Sheet: 10 5/16 x 17 5/8in. (26.2 x 44.8 cm),,Gift of Gertrude Vanderbilt Whitney
31.564a-b,PC,Drawings,Kimon Nicolaides,Nicolaides Kimon,Two Heads,(1920s),1920,"Pen and ink, and graphite pencil on paper (recto); Fabricated chalk on paper (verso)",Sheet: 8 1/4 x 7in. (21 x 17.8 cm),"Pen and colored ink, and graphite pencil on paper (recto); Black fabricated chalk on paper (verso)",Purchase
31.566,PC,Drawings,Josef Presser,Presser Josef,The Black Horse,1931,1931,Pastel on paper,Sheet: 15 1/8 x 19 1/2in. (38.4 x 49.5 cm),,Purchase
31.567,PC,Drawings,Josef Presser,Presser Josef,The Brown Horse,1930,1930,Pastel on paper,Sheet: 14 5/16 x 19 1/4in. (36.4 x 48.9 cm),,Purchase
31.568,PC,Drawings,Boardman Robinson,Robinson Boardman,"Ambassador Harvey, Study Number 1",-1921,1921,"Wax crayon, pen and ink, and transparent and opaque watercolor on paper",Sheet: 21 1/4 x 18in. (54 x 45.7 cm),,Gift of Gertrude Vanderbilt Whitney
31.569,PC,Drawings,Boardman Robinson,Robinson Boardman,"Ambassador Harvey, Study Number 2",1921,1921,Pen and ink and graphite pencil on paper,Sheet (Irregular): 25 1/2 x 10 3/8in. (64.8 x 26.4 cm),,Gift of Gertrude Vanderbilt Whitney
31.57,PC,Drawings,Boardman Robinson,Robinson Boardman,Draped Nude,1923,1923,Graphite pencil and transparent and opaque watercolor on paper,Sheet (Irregular): 14 1/16 x 10in. (35.7 x 25.4 cm),,Purchase
31.571,PC,Drawings,Boardman Robinson,Robinson Boardman,The Hon. Elihu Root,-1918,1918,"Pen and ink, fabricated chalk, and opaque watercolor on paper",Sheet (Irregular): 16 1/4 x 10 1/2in. (41.3 x 26.7 cm),"Pen and black ink, red and black fabricated chalk, and opaque watercolor on paper",Gift of Gertrude Vanderbilt Whitney
31.572,PC,Drawings,Andrée Ruellan,Ruellan Andrée,Boy in Armchair,-1928,1928,Graphite pencil on paper mounted on paper,"Sheet: 17 5/16 x 11 1/16in. (44 x 28.1 cm)
Mount: 21 x 15 1/16in. (53.3 x 38.3 cm)",,Purchase
31.573,PC,Drawings,Andrée Ruellan,Ruellan Andrée,Girl Reading,-1928,1928,Graphite pencil on paper,Sheet: 16 3/8 x 10in. (41.6 x 25.4 cm),,Purchase
