Last Name,First Name,Display Name,Begin Date,End Date,Display Date,City ,State,Country,Subcontinent,Continen,ConstituentID
Nakian,Reuben,Reuben Nakian,"1,897","1,986",1897-1986,College Point,New York,United States of America,Central North America,North America,935
Nason,Thomas W.,Thomas W. Nason,"1,889","1,971",1889-1971,Lowell,Massachusetts,United States of America,Central North America,North America,936
Nast,Thomas,Thomas Nast,"1,840","1,902",1840-1902,Landau,,Germany,Central Europe,Europe,937
Nicolaides,Kimon,Kimon Nicolaides,"1,892","1,938",1892-1938,"Washington, D.C.",,United States of America,Central North America,North America,949
Noguchi,Isamu,Isamu Noguchi,"1,904","1,988",1904-1988,Los Angeles,California,United States of America,Central North America,North America,954
O'Keeffe,Georgia,Georgia O'Keeffe,"1,887","1,986",1887-1986,Sun Prairie,Wisconsin,United States of America,Central North America,North America,962
Orozco,Jose,Jose Clemente Orozco,"1,883","1,949",1883-1949,Ciudad Guzmán,,Mexico,,North and Central America,"7,665"
Pach,Walter,Walter Pach,"1,883","1,958",1883-1958,New York,New York,United States of America,,North America,982
Palmer,William C.,William C. Palmer,"1,906","1,987",1906-1987,Des Moines,Iowa,United States of America,Central North America,North America,987
Papsdorf,Fred,Fred Papsdorf,"1,887","1,978",1887-1978,Dover,Ohio,United States of America,Central North America,North America,989
Parsons,Lloyd,Lloyd Parsons,"1,893","1,968",1893-1968,Montreal,,Canada,Northern North America,North America,998
Peirce,Waldo,Waldo Peirce,"1,884","1,970",1884-1970,Bangor,Maine,United States of America,Central North America,North America,"1,008"
Pereira,I. Rice,I. Rice Pereira,"1,902","1,971",1902-1971,Chelsea,Massachusetts,United States of America,Central North America,North America,"1,009"
Perkins,Harley,Harley Perkins,"1,883","1,964",1883-1964,Bakersfield,Vermont,United States of America,Central North America,North America,"1,011"
Persons,Simmons,Simmons Persons,"1,906",0,1906-,Norfolk,Virginia,United States of America,Central North America,North America,"1,016"
Philipp,Robert,Robert Philipp,"1,895","1,981",1895-1981,(not specified),New York,United States of America,Central North America,North America,"1,020"
Phillips,Marjorie,Marjorie Phillips,"1,895","1,985",1895-1985,Bourbon,Indiana,United States of America,Central North America,North America,"1,024"
Picken,George,George Picken,"1,898","1,971",1898-1971,(not specified),New York,United States of America,Central North America,North America,"1,026"
Pickett,Joseph,Joseph Pickett,"1,848","1,918",1848-1918,New Hope,Pennsylvania,United States of America,Central North America,North America,"1,027"
Pinto,Salvatore,Salvatore Pinto,"1,904","1,975",1904-1975,Salerno,,Italy,Southern Europe,Europe,"1,030"
Pippin,Horace,Horace Pippin,"1,888","1,946",1888-1946,West Chester,Pennsylvania,United States of America,Central North America,North America,"1,031"
Pittman,Hobson,Hobson Pittman,"1,900","1,972",1900-1972,Tarboro,North Carolina,United States of America,Central North America,North America,"1,032"
Polasek,Albin,Albin Polasek,"1,879","1,965",1879-1965,Frenstat,,Czechoslovakia,Central Europe,Europe,"1,035"
Pollet,Joseph,Joseph Pollet,"1,898","1,979",1898-1979,Basel,,Switzerland,Western Europe,Europe,"1,037"
Pollock,Charles,Charles Pollock,"1,902","1,988",1902-1988,Denver,Colorado,United States of America,Central North America,North America,"1,038"
Poor,Henry Varnum,Henry Varnum Poor,"1,887","1,970",1887-1970,Chapman,Kansas,United States of America,Central North America,North America,"1,042"
Prendergast,Maurice,Maurice Prendergast,"1,858","1,924",1858-1924,St. John's,Newfoundland,Canada,,North America,"1,052"
Presser,Josef,Josef Presser,"1,909","1,967",1909-1967,Lublin,,Poland,Central Europe,Europe,"1,054"
Prestopino,Gregorio,Gregorio Prestopino,"1,907","1,984",1907-1984,(not specified),New York,United States of America,Central North America,North America,"1,056"
Prophet,Nancy Elizabeth,Nancy Elizabeth Prophet,"1,890","1,960",1890-1960,Warwick,Rhode Island,United States of America,Central North America,North America,"1,060"
Quinn,Edmond Thomas,Edmond Thomas Quinn,"1,868","1,929",1868-1929,Philadelphia,Pennsylvania,United States of America,Central North America,North America,"1,065"
Quirt,Walter,Walter Quirt,"1,902","1,968",1902-1968,Iron River,Michigan,United States of America,Central North America,North America,"1,066"
Rasmusson,Daniel,Daniel Rasmusson,"1,913",0,1913-,San Francisco,California,United States of America,Central North America,North America,"1,072"
Rattner,Abraham,Abraham Rattner,"1,895","1,978",1895-1978,Poughkeepsie,New York,United States of America,Central North America,North America,"1,073"
Redfield,Edward,Edward Redfield,"1,869","1,965",1869-1965,Bridgeville,Delaware,United States of America,Central North America,North America,"1,077"
Reindel,Edna,Edna Reindel,"1,900","1,992",1900-1992,Detroit,Michigan,United States of America,Central North America,North America,"1,082"
Ribak,Louis,Louis Ribak,"1,903","1,979",1903-1979,Grodno,,Russia,Eurasia,,"1,090"
Richards,Walter,Walter DuBois Richards,"1,907",0,1907-,Penfield,Ohio,United States of America,Central North America,North America,"1,092"
Riggs,Robert,Robert Riggs,"1,896","1,970",1896-1970,Decatur,Illinois,United States of America,Central North America,North America,"1,098"
Robinson,Boardman,Boardman Robinson,"1,876","1,952",1876-1952,Somerset,Nova Scotia,Canada,Northern North America,North America,"1,103"
Robus,Hugo,Hugo Robus,"1,885","1,964",1885-1964,Cleveland,Ohio,United States of America,Central North America,North America,"1,105"
Rohland,Caroline,Caroline Speare Rohland,"1,885","1,965",1885-1965,Boston,Massachusetts,United States of America,Central North America,North America,"1,109"
Rohland,Paul,Paul Rohland,"1,884","1,949",1884-1949,Richmond,Virginia,United States of America,Central North America,North America,"1,110"
Rollo,Jo,Jo Rollo,"1,904","2,001",1904-2001,Ragusa,,Italy,Southern Europe,Europe,"1,112"
Rosen,Charles,Charles Rosen,"1,878","1,950",1878-1950,(not specified),West Virginia,United States of America,Central North America,North America,"1,120"
Roszak,Theodore,Theodore Roszak,"1,907","1,981",1907-1981,Poznań,,Poland,Central Europe,Europe,"1,128"
Roth,Ernest,Ernest Roth,"1,879","1,964",1879-1964,Stuttgart,,Germany,Central Europe,Europe,"1,129"
Rothko,Mark,Mark Rothko,"1,903","1,970",1903-1970,Daugavpils,,Latvia,Northern Europe,Europe,"1,132"
Rothschild,Lincoln,Lincoln Rothschild,"1,902","1,983",1902-1983,(not specified),New York,United States of America,Central North America,North America,"1,133"
Ruellan,Andrée,Andrée Ruellan,"1,905","2,006",1905 - 2006,(not specified),New York,United States of America,Central North America,North America,"1,134"
Ruggles,Carl,Carl Ruggles,"1,876","1,971",1876-1971,Marion,Massachusetts,United States of America,Central North America,North America,"1,135"
Rumsey,Charles Cary,Charles Cary Rumsey,"1,879","1,922",1879-1922,Buffalo,New York,United States of America,Central North America,North America,"1,136"
Ruzicka,Rudolph,Rudolph Ruzicka,"1,883","1,978",1883-1978,Prague,,Czechoslovakia,Central Europe,Europe,"1,140"
Saalburg,Allen,Allen Saalburg,"1,899","1,987",1899-1987,Rochelle,Illinois,United States of America,Central North America,North America,"1,145"
Santo,Patsy,Patsy Santo,"1,893",0,1893-,Corsano,,Italy,Southern Europe,Europe,"1,152"
Sardeau,Hélène,Hélène Sardeau,"1,899","1,969",1899-1969,Antwerp,,Belgium,Western Europe,Europe,"1,153"
Saul,,Saul,"1,904","1,982",1904-1982,(not specified),,Russia,Eurasia,,"1,160"
Sawyer,Helen,Helen Sawyer,"1,900",0,1900-,"Washington, D.C.",,United States of America,Central North America,North America,"1,165"
Scaravaglione,Concetta,Concetta Scaravaglione,"1,900","1,975",1900-1975,New York,New York,United States of America,Central North America,North America,"1,168"
Schanker,Louis,Louis Schanker,"1,903","1,981",1903-1981,(not specified),New York,United States of America,Central North America,North America,"1,170"
Schmidt,Katherine,Katherine Schmidt,"1,898","1,978",1898-1978,Xenia,Ohio,United States of America,Central North America,North America,"1,176"
Schnakenberg,Henry,Henry Schnakenberg,"1,892","1,970",1892-1970,New York,New York,United States of America,Central North America,North America,"1,180"
Schreiber,Georges,Georges Schreiber,"1,904","1,979",1904-1979,Brussels,,Belgium,Western Europe,Europe,"1,186"
Shahn,Ben,Ben Shahn,"1,898","1,969",1898-1969,Kaunas,,Lithuania,Northern Europe,Europe,"1,203"
Sheeler,Charles,Charles Sheeler,"1,883","1,965",1883-1965,Philadelphia,Pennsylvania,United States of America,Central North America,North America,"1,209"
Sheets,Millard,Millard Sheets,"1,907","1,989",1907-1989,Pomona,California,United States of America,Central North America,North America,"1,210"
Shiff,Madeline,Madeline Shiff,"1,895","1,966",1895-1966,Denver,Colorado,United States of America,Central North America,North America,"1,214"
Shinn,Everett,Everett Shinn,"1,876","1,953",1876-1953,Woodstown,New Jersey,United States of America,Central North America,North America,"1,215"
Simkhovitch,Simkha,Simkha Simkhovitch,"1,893","1,949",1893-1949,Leningrad,,Russia,Eurasia,,"1,223"
Siporin,Mitchell,Mitchell Siporin,"1,910","1,976",1910-1976,New York,New York,United States of America,Central North America,North America,"1,227"
Sloan,John,John Sloan,"1,871","1,951",1871-1951,Lock Haven,Pennsylvania,United States of America,Central North America,North America,"1,229"
Smith,David,David Smith,"1,906","1,965",1906-1965,Decatur,Indiana,United States of America,Central North America,North America,"1,232"
Smith,Jacob,Jacob Getlar Smith,"1,898","1,958",1898-1958,(not specified),New York,United States of America,Central North America,North America,"1,235"
Smith,Judson,Judson Smith,"1,880","1,962",1880-1962,Grand Haven,Michigan,United States of America,Central North America,North America,"1,236"
Soyer,Isaac,Isaac Soyer,"1,907","1,981",1907-1981,Tambov,,Russia,Eurasia,,"1,254"
Soyer,Raphael,Raphael Soyer,"1,899","1,987",1899-1987,Borisoglebsk,,Russia,Eurasia,,"1,256"
Speicher,Eugene,Eugene Speicher,"1,883","1,962",1883-1962,Buffalo,New York,United States of America,Central North America,North America,"1,259"
Spencer,Niles,Niles Spencer,"1,893","1,952",1893-1952,Pawtucket,Rhode Island,United States of America,Central North America,North America,"1,260"
Sprinchorn,Carl,Carl Sprinchorn,"1,887","1,971",1887-1971,Brody,,Sweden,Northern Europe,Europe,"1,262"
Spruance,Benton,Benton Murdoch Spruance,"1,904","1,967",1904-1967,Philadelphia,Pennsylvania,United States of America,Central North America,North America,"1,263"
Stamos,Theodoros,Theodoros Stamos,"1,922","1,997",1922-1997,(not specified),New York,United States of America,Central North America,North America,"1,268"
Stavenitz,Alexander,Alexander R. Stavenitz,"1,901","1,960",1901-1960,Kiev,,Ukraine,Eurasia,,"1,273"
Stea,Cesare,Cesare Stea,"1,893","1,960",1893-1960,Bari,,Italy,Southern Europe,Europe,"1,274"
Steiger,Harwood,Harwood Steiger,"1,900",0,1900-,Macedon,New York,United States of America,Central North America,North America,"1,277"
Stella,Joseph,Joseph Stella,"1,877","1,946",1877-1946,Muro Lucano,,Italy,Southern Europe,Europe,"1,281"
Sternberg,Harry,Harry Sternberg,"1,904","2,001",1904-2001,New York,New York,United States of America,Central North America,North America,"1,283"
Sterne,Maurice,Maurice Sterne,"1,878","1,957",1878-1957,Liepaja,,Latvia,Northern Europe,Europe,"1,285"
Sterner,Albert,Albert Sterner,"1,863","1,946",1863-1946,London,,England,Great Britain,Europe,"1,286"
Stevens,Edward John,Edward John Stevens Jr.,"1,923","1,988",1923-1988,Jersey City,New Jersey,United States of America,Central North America,North America,"1,289"
Stieglitz,Alfred,Alfred Stieglitz,"1,864","1,946",1864-1946,Hoboken,New Jersey,United States of America,Central North America,North America,"1,292"
Stuempfig,Walter,Walter Stuempfig,"1,914","1,970",1914-1970,Philadelphia,Pennsylvania,United States of America,Central North America,North America,"1,300"
Taylor,John,John W. Taylor,"1,897","1,983",1897-1983,Baltimore,Maryland,United States of America,Central North America,North America,"1,319"
Taylor,Prentiss,Prentiss Hottel Taylor,"1,907","1,991",1907-1991,"Washington, D.C.",,United States of America,Central North America,North America,"1,320"
Tofel,Jennings,Jennings Tofel,"1,891","1,959",1891-1959,Tomashow,,Poland,Central Europe,Europe,"1,332"
Tollefson,Carl,Carl Anthony Tollefson,"1,899",0,1899-,Newport,Rhode Island,United States of America,,,"1,333"
Tomlin,Bradley,Bradley Walker Tomlin,"1,899","1,953",1899-1953,Syracuse,New York,United States of America,Central North America,North America,"1,334"
Trunk,Herman,"Herman Trunk, Jr.","1,899","1,963",1899-1963,(not specified),New York,United States of America,Central North America,North America,"1,345"
Tucker,Allen,Allen Tucker,"1,866","1,939",1866-1939,Brooklyn,New York,United States of America,Central North America,North America,"1,348"
Turnbull,James,James B. Turnbull,"1,909","1,976",1909-1976,St. Louis,Missouri,United States of America,Central North America,North America,"1,349"
Vagis,Polygnotos,Polygnotos Vagis,"1,894","1,965",1894-1965,Thasos,,Greece,Southern Europe,Europe,"1,360"
Varian,Dorothy,Dorothy Varian,"1,895","1,985",1895-1985,(not specified),New York,United States of America,Central North America,North America,"1,366"
Walkowitz,Abraham,Abraham Walkowitz,"1,878","1,965",1878-1965,Tyumen',Siberia,Russia,Eurasia,,"1,382"
Walters,Carl,Carl Walters,"1,883","1,955",1883-1955,Fort Madison,Iowa,United States of America,Central North America,North America,"1,383"
Wasey,Jane,Jane Wasey,"1,912","1,992",1912-1992,Chicago,Illinois,United States of America,Central North America,North America,"1,385"
Watkins,Franklin,Franklin C. Watkins,"1,894","1,972",1894-1972,(not specified),New York,United States of America,Central North America,North America,"1,386"
Watson,Nan,Nan Watson,"1,876","1,966",1876-1966,Edinburgh,,Scotland,Great Britain,Europe,"1,387"
Weber,Max,Max Weber,"1,881","1,961",1881-1961,Bialystok,,Poland,,Europe,"1,390"
Wengenroth,Stow,Stow Wengenroth,"1,907","1,978",1907-1978,Brooklyn,New York,United States of America,Central North America,North America,"1,401"
Wheeler,George,George Bernard Wheeler,0,0,,(not specified),New York,United States of America,Central North America,North America,"1,409"
Wheeler,Steve,Steve Wheeler,"1,912","1,992",1912-1992,Kotehback,,Czechoslovakia,Eastern Europe,Europe,"1,410"
Wheelock,Warren,Warren Wheelock,"1,880","1,960",1880-1960,Sutton,Massachusetts,United States of America,Central North America,North America,"1,411"
White,Charles,Charles White,"1,918","1,979",1918-1979,Chicago,Illinois,United States of America,Central North America,North America,"1,412"
Whitney,Gertrude,Gertrude Vanderbilt Whitney,"1,875","1,942",1875-1942,New York,New York,United States of America,Central North America,North America,"1,415"
Whorf,John,John Whorf,"1,903","1,959",1903-1959,Boston,Massachusetts,United States of America,Central North America,North America,"1,417"
Wickey,Harry,Harry Wickey,"1,892","1,968",1892-1968,Stryker,Ohio,United States of America,Central North America,North America,"1,418"
Wiltz,Arnold,Arnold Wiltz,"1,889","1,937",1889-1937,Berlin,New Hampshire,United States of America,Central North America,North America,"1,436"
Wood,Grant,Grant Wood,"1,891","1,942",1891-1942,Anamosa,Iowa,United States of America,Central North America,North America,"1,447"
Wyeth,Andrew,Andrew Wyeth,"1,917","2,009",1917-2009,Chadds Ford,Pennsylvania,United States of America,Central North America,North America,"1,451"
Yarrow,William,William Yarrow,"1,891","1,941",1891-1941,Glenside,Pennsylvania,United States of America,Central North America,North America,"1,453"
Young,Mahonri,Mahonri M. Young,"1,877","1,957",1877-1957,Salt Lake City,Utah,United States of America,Central North America,North America,"1,455"
Zerbe,Karl,Karl Zerbe,"1,903","1,972",1903-1972,Berlin,New Hampshire,United States of America,Central North America,North America,"1,461"
Zirinsky,Julius,Julius Zirinsky,"1,898","1,970",1898-1970,Libau,,Latvia,Northern Europe,Europe,"1,464"
Zorach,Marguerite,Marguerite Zorach,"1,887","1,968",1887-1968,Santa Rosa,California,United States of America,Central North America,North America,"1,466"
Zorach,William,William Zorach,"1,887","1,966",1887-1966,Jurbarkas,,Lithuania,Northern Europe,Europe,"1,467"
